UW Control
4 Solitude
3 Chalice_of_the_Void
2 March_of_Otherworldly_Light
3 Fire_/_Ice
4 Counterspell
4 Archmage's_Charm
2 Supreme_Verdict
4 Prismatic_Ending
1 Shark_Typhoon
1 Dress_Down
2 Teferi,_Hero_of_Dominaria
2 Jace,_the_Mind_Sculptor
3 Teferi,_Time_Raveler
1 Plains
1 Otawara,_Soaring_City
1 Spara's_Headquarters
1 Celestial_Colonnade
1 Hall_of_Storm_Giants
1 Raugrin_Triome
1 Steam_Vents
2 Polluted_Delta
2 _Scalding_Tarn
2 Hallowed_Fountain
2 Castle_Vantress
3 Island
3 Mystic_Gate
4 Flooded_Strand
